rank,freq_mhz,abacad_score,mean_A,mean_OFF,n_A,n_OFF,rfi_band,excluded,in_rfi,in_excluded
1,1544.47,5144.895604186115,5144.938843123083,0.04323893696779296,21,21,Inmarsat downlink,,True,False
2,1575.5,607.0723190307617,991.6371103922526,384.5647913614909,21,21,GNSS (GPS/Galileo),,True,False
3,1575.28,468.93205588204523,817.7036083312262,348.77155244918094,21,21,GNSS (GPS/Galileo),,True,False
4,1575.1799999999998,382.3752532800039,544.6140286014194,162.2387753214155,21,21,GNSS (GPS/Galileo),,True,False
5,1556.33,380.0961193353646,1774.2115695776329,1394.1154502422683,21,21,Inmarsat downlink,,True,False
6,1575.3899999999999,353.49539958863033,608.0210191635858,254.52561957495553,21,21,GNSS (GPS/Galileo),,True,False
7,1575.42,350.5317728746505,663.7675693262191,313.2357964515686,21,21,GNSS (GPS/Galileo),,True,False
8,1575.56,338.2568670113882,542.5462424755096,204.2893754641215,21,21,GNSS (GPS/Galileo),,True,False
9,1575.55,332.0596325965155,608.2423187437512,276.1826861472357,21,21,GNSS (GPS/Galileo),,True,False
10,1575.3400000000001,310.31583842777076,750.2558755193438,439.94003709157306,21,21,GNSS (GPS/Galileo),,True,False
11,1575.4299999999998,297.6591424033755,591.8024800504957,294.1433376471202,21,21,GNSS (GPS/Galileo),,True,False
12,1544.48,286.4164502732456,286.4594999353091,0.04304966206351916,21,21,Inmarsat downlink,,True,False
13,1575.62,272.6839823495774,487.7638541630336,215.0798718134562,21,21,GNSS (GPS/Galileo),,True,False
14,1575.33,265.88539573124484,523.2996741703579,257.41427843911305,21,21,GNSS (GPS/Galileo),,True,False
15,1575.45,264.5732692763919,521.734301453545,257.16103217715306,21,21,GNSS (GPS/Galileo),,True,False
16,1575.37,264.04378389176867,456.3405382973807,192.29675440561203,21,21,GNSS (GPS/Galileo),,True,False
17,1575.4,258.49528546560373,656.685735293797,398.1904498281933,21,21,GNSS (GPS/Galileo),,True,False
18,1575.52,253.37058421543662,478.28962180728,224.9190375918434,21,21,GNSS (GPS/Galileo),,True,False
19,1575.3200000000002,250.4479914165679,513.7357397533599,263.287748336792,21,21,GNSS (GPS/Galileo),,True,False
20,1575.0900000000001,247.15216309683663,367.9006223678589,120.74845927102226,21,21,GNSS (GPS/Galileo),,True,False
21,1575.72,242.53963836034143,336.75543005125866,94.21579169091724,21,21,GNSS (GPS/Galileo),,True,False
22,1575.25,241.65943579446702,412.80753015336535,171.14809435889833,21,21,GNSS (GPS/Galileo),,True,False
23,1575.6799999999998,240.62894458997815,397.00844319661456,156.37949860663642,21,21,GNSS (GPS/Galileo),,True,False
24,1575.53,239.6900243588856,423.2044454585938,183.5144210997082,21,21,GNSS (GPS/Galileo),,True,False
25,1575.22,239.3053172429403,426.98195368903026,187.67663644608996,21,21,GNSS (GPS/Galileo),,True,False
26,1575.2,235.01249688579927,412.45473589783626,177.442239012037,21,21,GNSS (GPS/Galileo),,True,False
27,1575.38,234.64252508254276,474.1764957791283,239.53397069658553,21,21,GNSS (GPS/Galileo),,True,False
28,1575.63,232.3842737788246,389.90899106434415,157.52471728551956,21,21,GNSS (GPS/Galileo),,True,False
29,1575.1599999999999,217.84044191950846,313.8243469397227,95.98390502021427,21,21,GNSS (GPS/Galileo),,True,False
30,1544.46,216.0408177319027,228.75372062109057,12.712902889187847,21,21,Inmarsat downlink,,True,False
31,1575.15,215.9284786950974,340.5674432572864,124.63896456218902,21,21,GNSS (GPS/Galileo),,True,False
32,1575.46,206.4495399111793,436.13133185250416,229.68179194132486,21,21,GNSS (GPS/Galileo),,True,False
33,1575.21,205.45314632143294,349.8557375953311,144.40259127389817,21,21,GNSS (GPS/Galileo),,True,False
34,1575.44,202.07895932878762,498.2153696332659,296.13641030447826,21,21,GNSS (GPS/Galileo),,True,False
35,1575.74,198.93164861769904,314.68482732772827,115.75317871002923,21,21,GNSS (GPS/Galileo),,True,False
36,1623.9099999999999,191.17075304385452,203.4513035620607,12.280550518206187,21,21,Iridium/Globalstar,,True,False
37,1575.65,176.3623125893729,291.22692641757783,114.86461382820492,21,21,GNSS (GPS/Galileo),,True,False
38,1575.08,174.45656218982882,266.090723775682,91.6341615858532,21,21,GNSS (GPS/Galileo),,True,False
39,1619.03,170.49407950132377,172.98022378732762,2.4861442860038507,21,21,Iridium/Globalstar,,True,False
40,1575.27,168.9764018058777,317.854659148625,148.87825734274728,21,21,GNSS (GPS/Galileo),,True,False
41,1575.58,167.38889320691428,305.6717217422667,138.28282853535242,21,21,GNSS (GPS/Galileo),,True,False
42,1575.54,163.95093611308505,398.1337016423543,234.18276552926926,21,21,GNSS (GPS/Galileo),,True,False
43,1575.51,162.3529364608583,310.9370674008415,148.5841309399832,21,21,GNSS (GPS/Galileo),,True,False
44,1575.12,159.8664416017986,268.6784132775806,108.81197167578198,21,21,GNSS (GPS/Galileo),,True,False
45,1575.79,157.9230905033293,271.1232337270464,113.2001432237171,21,21,GNSS (GPS/Galileo),,True,False
46,1575.29,155.548817997887,353.7269605909075,198.17814259302048,21,21,GNSS (GPS/Galileo),,True,False
47,1575.48,154.54363872891378,374.44631808144703,219.90267935253326,21,21,GNSS (GPS/Galileo),,True,False
48,1575.47,148.0275820323399,300.905332837786,152.87775080544608,21,21,GNSS (GPS/Galileo),,True,False
49,1575.19,146.2525396347046,254.86366766975038,108.61112803504581,21,21,GNSS (GPS/Galileo),,True,False
50,1575.23,145.10754322438012,299.2356789395923,154.12813571521215,21,21,GNSS (GPS/Galileo),,True,False
