rank,freq_mhz,abacad_score,mean_A,mean_OFF,n_A,n_OFF
1,1426.6100000000001,20.19290980324149,22.721940240689687,2.529030437448195,21,21
2,1499.99,8.125160906641256,57.958175705479725,49.83301479883847,21,21
3,1500.0,3.0001403292020186,22.469780190537374,19.469639861335356,21,21
4,1404.0,1.217051784374884,2.0499562266327085,0.8329044422578245,21,21
5,1176.45,1.045027668809607,1.8488162693878014,0.8037886005781946,21,21
6,1124.93,0.7628246776404835,2.357928651606753,1.5951039739662694,21,21
7,1180.02,0.371980345497529,4.113458203063125,3.741477857565596,21,21
8,1160.02,0.31338672960797953,1.3531708722668034,1.039784142658824,21,21
9,1190.02,0.2694211706873917,0.874970873019525,0.6055497023321333,21,21
10,1175.54,0.15689139387437268,0.9309399525324503,0.7740485586580776,21,21
11,1199.99,0.13768607786013964,1.7245048029082162,1.5868187250480765,21,21
12,1166.22,0.057565047450008844,0.324196907913401,0.26663186046339216,21,21
13,1125.07,0.05599233046883628,0.474272249887387,0.4182799194185507,21,21
14,1133.99,0.047647726322923384,0.14259412600880578,0.0949463996858824,21,21
15,1175.99,0.04654575919821147,0.6388108950285685,0.592265135830357,21,21
16,1177.35,0.04604710106338761,1.3067780037720997,1.2607309027087121,21,21
17,1134.0,0.03665051609277725,0.1223747567051933,0.08572424061241604,21,21
18,1161.19,0.03612502203101203,0.12385998613068036,0.08773496409966833,21,21
19,1133.98,0.03408940242869514,0.13114460025514876,0.09705519782645362,21,21
20,1134.81,0.032234452310062583,0.11920120691259702,0.08696675460253443,21,21
21,1144.97,0.030450148419255293,0.09831061781871886,0.06786046939946357,21,21
22,1134.07,0.029655328463940395,0.09995213541246596,0.07029680694852557,21,21
23,1134.89,0.028356022245827173,0.1011161697762353,0.07276014753040813,21,21
24,1133.91,0.02820116689517385,0.1084349529729003,0.08023378607772645,21,21
25,1194.99,0.027638297173238957,0.2437088324555329,0.21607053528229395,21,21
26,1134.9,0.027534337803011857,0.09385790108215242,0.06632356327914056,21,21
27,1134.82,0.026330731099560148,0.09991779284817832,0.07358706174861818,21,21
28,1102.11,0.025555356627418875,0.07597408567865689,0.050418729051238016,21,21
29,1126.99,0.024862410057158696,0.1018219625666028,0.0769595525094441,21,21
30,1103.97,0.024726624112753635,0.08719160230386824,0.06246497819111461,21,21
31,1134.08,0.02457305948649134,0.08845422949109759,0.06388117000460625,21,21
32,1126.98,0.024090441742113652,0.08803840655656088,0.06394796481444723,21,21
33,1133.9,0.022885418718769437,0.1068202650972775,0.08393484637850807,21,21
34,1134.8,0.02177724135773522,0.11062917113304138,0.08885192977530616,21,21
35,1175.55,0.02158899534316283,0.6985635672296796,0.6769745718865168,21,21
36,1102.1,0.021560759061858774,0.0736971948118437,0.05213643574998492,21,21
37,1127.0,0.02062241289587248,0.09478996694087982,0.07416755404500734,21,21
38,1134.06,0.019822994690565837,0.09185171482108888,0.07202872013052304,21,21
39,1134.91,0.019652217981361214,0.07525835949040595,0.055606141509044735,21,21
40,1144.96,0.019515648839019593,0.0789153567027478,0.0593997078637282,21,21
41,1126.92,0.019232411469732015,0.07716941017480124,0.05793699870506922,21,21
42,1126.91,0.01904213517194702,0.07766061843860717,0.058618483266660144,21,21
43,1103.96,0.018975465602817987,0.07299603042857987,0.05402056482576188,21,21
44,1133.92,0.01875758437173708,0.09117990448361352,0.07242232011187644,21,21
45,1409.99,0.01825660626803126,0.12987002304622106,0.1116134167781898,21,21
46,1134.01,0.018155314560447416,0.0917772888427689,0.07362197428232148,21,21
47,1134.88,0.017954293106283464,0.08887410554147902,0.07091981243519556,21,21
48,1102.03,0.01772817295222056,0.07013765154849916,0.0524094785962786,21,21
49,1134.98,0.016622089204334077,0.06809666451244127,0.051474575308107194,21,21
50,1175.01,0.016617300964537174,0.8537955560854503,0.8371782551209132,21,21
